Fecha,Último,Apertura,Máximo,Mínimo,% var.
23.05.2022,10.66,10.66,10.66,10.66,0.38%
20.05.2022,10.62,10.82,10.84,10.595,-1.67%
19.05.2022,10.8,10.781,10.845,10.7,-1.37%
18.05.2022,10.95,11.079,11.079,10.95,-0.52%
17.05.2022,11.007,10.9,11.095,10.89,0.98%
16.05.2022,10.9,11,11,10.8,0.93%
13.05.2022,10.8,10.62,10.898,10.62,0.09%
12.05.2022,10.79,10.8,10.8,10.689,1.25%
11.05.2022,10.657,10.7,10.7,10.63,0.53%
10.05.2022,10.601,10.5,10.695,10.5,0.96%
09.05.2022,10.5,10.52,10.6,10.5,0.58%
06.05.2022,10.439,10.34,10.5,10.34,1.98%
05.05.2022,10.236,10.188,10.297,10.142,1.85%
04.05.2022,10.05,10.245,10.251,10,-0.71%
03.05.2022,10.122,10.3,10.3,10.1,-1.73%
02.05.2022,10.3,10.398,10.452,10.3,1.29%
29.04.2022,10.169,10.1,10.169,10.04,1.70%
28.04.2022,9.999,9.961,9.999,9.961,1.14%
27.04.2022,9.886,9.992,9.992,9.886,0.71%
26.04.2022,9.816,9.693,9.84,9.693,1.27%
25.04.2022,9.693,9.8,9.8,9.693,-0.27%
22.04.2022,9.719,9.502,9.719,9.495,3.38%
21.04.2022,9.401,9.64,9.64,9.401,-0.78%
20.04.2022,9.475,9.508,9.599,9.475,-1.49%
19.04.2022,9.618,9.478,9.618,9.478,2.43%
18.04.2022,9.39,9.396,9.553,9.39,1.20%
13.04.2022,9.279,9.13,9.279,9.13,1.52%
12.04.2022,9.14,9.157,9.213,9.07,-1.72%
11.04.2022,9.3,9.42,9.42,9.28,0.81%
09.04.2022,9.225,9.225,9.225,9.225,0.00%
08.04.2022,9.225,9,9.225,8.943,2.96%
07.04.2022,8.96,8.82,8.96,8.82,2.19%
06.04.2022,8.768,9.098,9.098,8.7,-2.33%
05.04.2022,8.977,8.947,8.977,8.88,2.70%
04.04.2022,8.741,9.005,9.005,8.741,-4.05%
01.04.2022,9.11,9.22,9.22,9.05,-2.04%
31.03.2022,9.3,9.371,9.371,9.3,-1.91%
30.03.2022,9.481,9.45,9.518,9.403,-0.93%
29.03.2022,9.57,9.652,9.8,9.501,-3.83%
28.03.2022,9.951,10.05,10.05,9.951,-0.89%
25.03.2022,10.04,10,10.04,9.919,1.87%
24.03.2022,9.856,9.876,9.9,9.853,0.26%
23.03.2022,9.83,9.551,9.83,9.551,2.45%
22.03.2022,9.595,9.5,9.61,9.5,2.07%
20.03.2022,9.4,9.4,9.4,9.4,0.00%
19.03.2022,9.4,9.4,9.4,9.4,0.00%
18.03.2022,9.4,9.47,9.5,9.4,-0.69%
17.03.2022,9.465,9.47,9.47,9.405,-0.21%
16.03.2022,9.485,9.434,9.521,9.434,-0.05%
15.03.2022,9.49,9.472,9.523,9.465,-0.40%
14.03.2022,9.528,9.539,9.571,9.524,1.47%
12.03.2022,9.39,9.39,9.39,9.39,0.00%
11.03.2022,9.39,9.568,9.568,9.39,-1.16%
10.03.2022,9.5,9.421,9.5,9.421,0.86%
09.03.2022,9.419,9.358,9.419,9.358,0.65%
08.03.2022,9.358,9.26,9.36,9.26,1.06%
07.03.2022,9.26,9.173,9.26,9.173,2.89%
06.03.2022,9,9,9,9,0.00%
04.03.2022,9,8.854,9.05,8.854,1.81%
