Fecha,Último,Apertura,Máximo,Mínimo,% var.
23.05.2022,11.6,11.6,11.6,11.6,-0.85%
20.05.2022,11.699,11.8,11.87,11.676,-0.52%
19.05.2022,11.76,11.652,11.78,11.502,-1.69%
18.05.2022,11.962,11.962,11.962,11.962,-1.02%
17.05.2022,12.085,11.8,12.085,11.8,2.42%
16.05.2022,11.8,11.71,11.8,11.71,2.33%
13.05.2022,11.531,11.6,11.6,11.531,1.46%
12.05.2022,11.365,11.361,11.365,11.32,0.93%
11.05.2022,11.26,11.255,11.3,11.223,0.13%
10.05.2022,11.245,11.11,11.245,11.1,1.22%
09.05.2022,11.11,11.25,11.25,11.11,1.41%
06.05.2022,10.955,11,11.053,10.955,1.91%
05.05.2022,10.75,10.744,10.799,10.744,0.84%
04.05.2022,10.66,10.7,10.7,10.66,-1.11%
03.05.2022,10.78,10.78,10.78,10.78,0.00%
02.05.2022,10.78,10.76,10.8,10.68,1.91%
29.04.2022,10.578,10.578,10.578,10.578,2.10%
28.04.2022,10.36,10.33,10.36,10.33,0.30%
27.04.2022,10.329,10.329,10.329,10.329,0.38%
26.04.2022,10.29,10.151,10.29,10.151,1.37%
25.04.2022,10.151,10.151,10.151,10.151,0.22%
22.04.2022,10.129,9.945,10.129,9.945,2.31%
21.04.2022,9.9,10.028,10.028,9.9,-0.35%
20.04.2022,9.935,10.03,10.031,9.935,-0.64%
19.04.2022,9.999,10.019,10.019,9.901,1.51%
18.04.2022,9.85,9.994,10.022,9.85,0.71%
13.04.2022,9.781,9.81,9.883,9.781,0.99%
12.04.2022,9.685,9.672,9.7,9.672,-2.34%
11.04.2022,9.917,9.917,9.917,9.917,0.87%
09.04.2022,9.831,9.831,9.831,9.831,0.00%
08.04.2022,9.831,9.64,9.831,9.64,3.27%
07.04.2022,9.52,9.461,9.52,9.461,1.04%
06.04.2022,9.422,9.7,9.7,9.422,-1.44%
05.04.2022,9.56,9.5,9.56,9.5,0.63%
04.04.2022,9.5,9.705,9.705,9.5,-2.66%
01.04.2022,9.76,9.799,9.799,9.685,-1.64%
31.03.2022,9.923,9.85,9.923,9.85,0.77%
30.03.2022,9.847,9.79,9.854,9.79,0.38%
29.03.2022,9.81,10.02,10.02,9.81,-3.58%
28.03.2022,10.174,10.35,10.35,10.174,-1.13%
25.03.2022,10.29,10.188,10.29,10.188,0.91%
24.03.2022,10.197,10.197,10.197,10.197,1.36%
23.03.2022,10.06,9.876,10.06,9.876,1.98%
22.03.2022,9.865,9.9,9.918,9.84,0.74%
20.03.2022,9.793,9.793,9.793,9.793,0.00%
19.03.2022,9.793,9.793,9.793,9.793,0.00%
18.03.2022,9.793,9.793,9.793,9.793,0.47%
17.03.2022,9.747,9.791,9.791,9.722,-0.34%
16.03.2022,9.78,9.782,9.791,9.765,-0.05%
15.03.2022,9.785,9.809,9.809,9.721,0.15%
14.03.2022,9.77,9.83,9.83,9.77,0.31%
12.03.2022,9.74,9.74,9.74,9.74,0.00%
11.03.2022,9.74,9.75,9.763,9.74,-0.20%
10.03.2022,9.76,9.675,9.781,9.675,-0.41%
09.03.2022,9.8,9.775,9.8,9.775,0.26%
08.03.2022,9.775,9.765,9.876,9.765,0.10%
07.03.2022,9.765,9.651,9.765,9.651,2.36%
06.03.2022,9.54,9.54,9.54,9.54,0.00%
04.03.2022,9.54,9.428,9.54,9.428,1.86%
03.03.2022,9.366,9.57,9.57,9.366,-2.13%
02.03.2022,9.57,9.529,9.571,9.529,0.62%
01.03.2022,9.511,9.659,9.659,9.511,-1.70%
28.02.2022,9.675,9.67,9.675,9.62,0.74%
26.02.2022,9.604,9.604,9.604,9.604,0.00%
25.02.2022,9.604,9.55,9.604,9.54,-0.33%
24.02.2022,9.636,9.61,9.636,9.61,2.51%
23.02.2022,9.4,9.358,9.4,9.358,0.70%
22.02.2022,9.335,9.327,9.335,9.282,1.19%
21.02.2022,9.225,9.27,9.27,9.18,0.71%
20.02.2022,9.16,9.16,9.16,9.16,0.00%
18.02.2022,9.16,9.155,9.173,9.155,-0.28%
17.02.2022,9.186,9.12,9.186,9.12,0.39%
16.02.2022,9.15,9.19,9.19,9.15,-1.24%
15.02.2022,9.265,9.308,9.308,9.251,-0.59%
14.02.2022,9.32,9.34,9.34,9.309,1.14%
13.02.2022,9.215,9.215,9.215,9.215,0.00%
12.02.2022,9.215,9.215,9.215,9.215,0.00%
11.02.2022,9.215,9.151,9.215,9.07,0.16%
