Fecha,Último,Apertura,Máximo,Mínimo,% var.
23.05.2022,10.3,10.3,10.3,10.3,-0.56%
21.05.2022,10.358,10.358,10.358,10.358,0.00%
20.05.2022,10.358,10.545,10.545,10.358,-2.65%
19.05.2022,10.64,10.5,10.64,10.459,0.19%
18.05.2022,10.62,10.719,10.719,10.616,-0.70%
17.05.2022,10.695,10.562,10.695,10.562,1.26%
16.05.2022,10.562,10.5,10.604,10.5,0.83%
14.05.2022,10.475,10.475,10.475,10.475,0.00%
13.05.2022,10.475,10.32,10.54,10.32,0.24%
12.05.2022,10.45,10.449,10.45,10.365,0.77%
11.05.2022,10.37,10.375,10.375,10.335,0.52%
10.05.2022,10.316,10.35,10.449,10.2,-0.33%
09.05.2022,10.35,10.38,10.4,10.31,1.67%
07.05.2022,10.18,10.18,10.18,10.18,0.00%
06.05.2022,10.18,10.17,10.256,10.17,1.80%
05.05.2022,10,9.95,10.042,9.95,2.04%
04.05.2022,9.8,10.001,10.05,9.8,-0.85%
03.05.2022,9.884,10.05,10.05,9.884,-1.65%
02.05.2022,10.05,10.07,10.07,10.05,2.03%
30.04.2022,9.85,9.85,9.85,9.85,0.00%
29.04.2022,9.85,9.784,9.85,9.782,2.03%
28.04.2022,9.654,9.74,9.74,9.652,0.04%
27.04.2022,9.65,9.7,9.7,9.6,-0.13%
26.04.2022,9.663,9.595,9.675,9.568,0.71%
25.04.2022,9.595,9.7,9.7,9.595,-0.35%
23.04.2022,9.629,9.629,9.629,9.629,0.00%
22.04.2022,9.629,9.405,9.63,9.34,2.33%
21.04.2022,9.41,9.391,9.531,9.391,0.27%
20.04.2022,9.385,9.332,9.476,9.332,-0.58%
19.04.2022,9.44,9.347,9.44,9.347,2.16%
18.04.2022,9.24,9.329,9.387,9.24,2.33%
13.04.2022,9.03,9.03,9.03,9.03,-0.44%
12.04.2022,9.07,9.065,9.18,9,-1.09%
11.04.2022,9.17,9.24,9.24,9.17,1.71%
09.04.2022,9.016,9.016,9.016,9.016,0.00%
08.04.2022,9.016,8.954,9.09,8.954,2.12%
07.04.2022,8.829,8.818,8.829,8.701,2.07%
06.04.2022,8.65,8.87,8.87,8.561,-2.25%
05.04.2022,8.849,8.698,8.849,8.612,2.90%
04.04.2022,8.6,8.801,8.85,8.52,-3.70%
02.04.2022,8.93,8.93,8.93,8.93,0.00%
01.04.2022,8.93,9,9,8.9,-3.30%
31.03.2022,9.235,9.35,9.35,9.223,-2.38%
30.03.2022,9.46,9.33,9.46,9.33,-1.77%
29.03.2022,9.63,9.6,9.71,9.6,-1.02%
28.03.2022,9.729,9.929,9.945,9.729,-2.44%
26.03.2022,9.972,9.972,9.972,9.972,0.00%
25.03.2022,9.972,9.77,9.972,9.77,1.76%
24.03.2022,9.8,9.95,9.95,9.8,0.00%
23.03.2022,9.8,9.5,9.8,9.5,2.78%
22.03.2022,9.535,9.46,9.593,9.46,2.31%
20.03.2022,9.32,9.32,9.32,9.32,0.00%
19.03.2022,9.32,9.32,9.32,9.32,0.00%
18.03.2022,9.32,9.364,9.395,9.32,-0.43%
17.03.2022,9.36,9.37,9.37,9.33,-0.18%
16.03.2022,9.377,9.384,9.4,9.36,-0.56%
15.03.2022,9.43,9.4,9.469,9.373,-0.29%
14.03.2022,9.457,9.27,9.457,9.27,1.36%
12.03.2022,9.33,9.33,9.33,9.33,0.00%
11.03.2022,9.33,9.37,9.405,9.33,-0.74%
10.03.2022,9.4,9.219,9.4,9.211,1.29%
09.03.2022,9.28,9.239,9.28,9.239,1.52%
08.03.2022,9.141,9.141,9.141,9.141,0.00%
07.03.2022,9.141,9.099,9.2,9.099,2.15%
06.03.2022,8.949,8.949,8.949,8.949,0.00%
05.03.2022,8.949,8.949,8.949,8.949,0.00%
04.03.2022,8.949,8.637,8.949,8.637,2.27%
03.03.2022,8.75,8.834,8.849,8.729,-1.49%
02.03.2022,8.882,8.751,8.888,8.751,0.25%
01.03.2022,8.86,9.053,9.053,8.86,-2.10%
28.02.2022,9.05,9.12,9.12,9.05,0.39%
26.02.2022,9.015,9.015,9.015,9.015,0.00%
25.02.2022,9.015,8.95,9.06,8.95,-0.84%
24.02.2022,9.091,9.097,9.1,9.059,2.70%
23.02.2022,8.852,8.78,8.852,8.78,1.28%
22.02.2022,8.74,8.72,8.74,8.688,0.40%
21.02.2022,8.705,8.618,8.705,8.618,0.54%
20.02.2022,8.658,8.658,8.658,8.658,0.00%
19.02.2022,8.658,8.658,8.658,8.658,0.00%
18.02.2022,8.658,8.679,8.679,8.622,-0.48%
17.02.2022,8.7,8.709,8.767,8.686,-0.45%
16.02.2022,8.739,8.799,8.83,8.739,-1.04%
15.02.2022,8.831,8.83,8.842,8.766,-0.05%
14.02.2022,8.835,8.871,8.885,8.835,0.74%
13.02.2022,8.77,8.77,8.77,8.77,0.00%
12.02.2022,8.77,8.77,8.77,8.77,0.00%
11.02.2022,8.77,8.6,8.77,8.6,0.80%
10.02.2022,8.7,8.669,8.7,8.615,0.94%
09.02.2022,8.619,8.57,8.619,8.55,1.64%
08.02.2022,8.48,8.422,8.48,8.421,1.90%
07.02.2022,8.322,8.301,8.322,8.25,0.96%
05.02.2022,8.243,8.243,8.243,8.243,0.00%
04.02.2022,8.243,8.261,8.261,8.2,-0.08%
03.02.2022,8.25,8.32,8.349,8.249,0.01%
02.02.2022,8.249,8.2,8.249,8.18,-0.13%
01.02.2022,8.26,8.32,8.32,8.26,-1.61%
31.01.2022,8.395,8.48,8.481,8.375,0.54%
30.01.2022,8.35,8.35,8.35,8.35,0.00%
29.01.2022,8.35,8.35,8.35,8.35,0.00%
28.01.2022,8.35,8.435,8.436,8.35,0.24%
